Unnamed: 0,year,total_dwelling,single_detached,total_dwelling_market,homeownership_freehold,rental,homeownership_condo,other,completed,res_building_permit,res_building_permit_amount,completed_but_unabsorbed_homes,new_single_and_semi_detached,new_rows_and_apartment,rental_vacancy_rate,rental_avilability_rate,vacancy_rate_seniors,vacancy_rate_condo,HPI_change,CPI_change,owned_accommodation_costs_change,rental_accommodation_costs_change,bachelor,one_bedroom,two_bedroom,three_bedroom,population,labour_participation_rate,employment_change,unemployment_rate,disposable_income_change,migration,Mortgage Rate,attached,multi_unit,region_0,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,region_10,region_11,region_12,region_13,region_14,region_15,region_16,region_17,region_18,region_19,region_20,region_21,region_22,region_23,region_24,region_25,region_26,region_27,region_28,region_29,region_30,region_31,region_32,region_33
0,1990.0,-0.3191553569435618,2847,-0.3796834432237139,2004,142,0,128,-0.264863566782703,-0.32791861004465117,-0.38034839003687715,-0.4114893855974203,-0.348811757496981,-0.41051813436146684,6.1,2.7,7.8,1.879370629,4.574565416,5.135322693,4.577354143,2.496930004,310,418,524,608,-0.10341154600323202,0.11984913842367152,-0.5409382709952617,0.140063107470383,-3.9207390735437375,-0.7018981632025189,7.0,507,393,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1991.0,-0.41346402316939485,1589,-0.44269471801075094,1085,143,148,62,-0.3992451813401199,-0.370703230682135,-0.40786248551234366,-0.4114893855974203,-0.348811757496981,-0.41051813436146684,6.2,2.7,7.8,-0.171600172,5.129046369,5.135322693,5.829326923,3.184904153,318,424,531,630,-0.10174008962151239,0.048644305792017374,-1.1840128830799417,0.7481751240722981,-3.9207390735437375,-0.7018981632025189,7.0,375,347,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1992.0,-0.38825903442306975,1683,-0.41382711245640263,1383,170,136,132,-0.3992451813401199,-0.33815996805551346,-0.3872716312924597,-0.4114893855974203,-0.348811757496981,-0.41051813436146684,5.8,2.7,7.8,-0.042973786,1.414750858,5.135322693,0.359644142,2.844702467,324,434,545,644,-0.10050737555562543,-0.09376535947129827,-1.1789855578241974,1.1029071337567493,-2.3979952314680593,-0.7018981632025189,7.0,691,563,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1993.0,-0.38020744079577146,1874,-0.42279642070958134,1338,151,204,9,-0.37131603185103756,-0.35082691085842205,-0.3868824309543235,-0.34281956872562597,-0.16738845310342068,-0.42009994217941454,5.6,2.7,7.8,3.568357696,2.687455124,5.135322693,-0.028291211,1.731112993,327,435,550,652,-0.09853783013236561,0.0033321395718694797,-0.318660498978727,1.1029071337567493,-2.480079340044778,-0.5923260128943779,7.0,603,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1994.0,-0.32615674270642986,2441,-0.4256605695635376,1289,79,259,37,-0.3403161381772918,-0.34611049598499866,-0.3839996618739418,-0.35084591095739415,-0.13283163321893302,-0.4543206843863705,5.5,2.7,7.8,3.424657534,1.378483668,5.135322693,1.480992359,0.906316471,329,440,551,645,-0.09629536940699847,-0.02256052683964045,-0.3156556864982775,0.8495271268392846,-2.080196208332375,-0.5701406161550171,7.0,828,684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1995.0,-0.41255384302022197,1564,-0.45950274944317826,919,12,284,0,-0.40195036074089485,-0.395902361577283,-0.4066072172101443,-0.34192775292209615,-0.08531600587776245,-0.47074664064570937,5.2,2.7,7.8,1.505117399,2.689920189,5.135322693,3.402119353,1.173128036,335,443,554,655,-0.09392983706662544,-0.06787269305978466,0.07991019258186069,0.0893871060868898,-2.3977081748772804,-0.5375399377403075,7.0,444,354,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1996.0,-0.3876989235620403,1875,-0.4573923239718421,927,105,211,0,-0.4432591813202967,-0.3843134564597283,-0.3980416282969954,-0.4658901496127379,-0.37472937241034676,-0.4775907890871006,5.6,2.7,7.8,0.929221036,2.21646517,5.135322693,0.647249191,0.914937947,330,440,559,645,-0.09191354041299002,-0.10239624741204413,-0.540951647363829,0.03871110470339701,-2.219576020936567,-0.5433826567289178,7.0,569,317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1997.0,-0.36711484941920813,2019,-0.4256605695635376,1266,187,211,0,-0.34419112488651005,-0.3565539860618648,-0.3842810455879803,-0.4355684122927248,-0.30345593139859095,-0.47622195939882234,5.5,2.7,7.8,1.371204701,2.102694077,5.135322693,-0.080385852,1.005385996,332,445,561,656,-0.09114154573704396,-0.059241805119038815,-0.06129659789934685,-0.3160209049810538,-2.7537019711714206,-0.640507275278715,7.0,736,450,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1998.0,-0.3473009277102915,2368,-0.4111890806172324,1312,281,263,0,-0.3589599421556059,-0.32333694988189704,-0.3733406629676574,-0.3767085692597582,-0.2775383164852252,-0.4023051562317974,3.9,2.7,7.8,0.792270531,1.259538476,5.135322693,0.670421024,0.862068966,339,451,566,662,-0.09059771304865749,0.033540251248388525,0.13522327119586175,-0.8227809188159834,-0.4837065181434766,-0.6417350930371911,7.0,658,396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1999.0,-0.3306376295946654,2231,-0.393250464110875,1286,455,353,0,-0.35376892222438905,-0.34732328838102183,-0.37703364746584833,-0.4400274913103738,-0.32289414258361526,-0.47074664064570937,3.2,2.7,7.8,1.610429448,2.006537135,-0.761614623,2.122180785,0.854700855,338,454,574,668,-0.08861618013042948,0.17163447124669506,-0.1010414308842139,-0.7721049174324905,0.21467361980839003,-0.47695348214102246,7.0,992,812,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2000.0,-0.37075557001589954,2348,-0.4380970053767686,1301,112,86,0,-0.355742972057387,-0.3786537586116202,-0.3799043976438716,-0.4043548591691819,-0.20194527298790838,-0.49264791565816124,2.2,2.7,7.8,2.849056604,2.447708055,4.205679202,2.947569777,1.022191158,339,471,581,719,-0.08667220802976822,0.2687319702898628,0.1482648731741999,-1.0761609257334481,-1.798072557675926,-0.4870300554692054,7.0,264,160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2001.0,-0.3425399853915412,2460,-0.4279971120496598,1301,120,128,84,-0.32883740396319255,-0.3797317962969741,-0.3835422365900652,-0.4462702019350824,-0.29265692518468855,-0.49949206409955244,1.4,2.7,7.8,1.761144744,2.693310165,3.068689547,1.258445946,1.57398599,357,474,596,695,-0.08501913247366637,0.2234198040697186,-0.7973804908164758,-1.0761609257334481,-0.05636114079865812,-0.4965985662766397,7.0,554,452,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2002.0,-0.2967509225023839,3016,-0.3877482834177486,1712,313,142,0,-0.31765112157620407,-0.3389684963195289,-0.35399765361028074,-0.4997791501468702,-0.4287244034798588,-0.4953855750347177,1.4,2.7,7.8,2.632053362,1.531302876,2.677210366,0.100091751,2.171136654,377,488,612,713,-0.0829468941768464,0.5341318010078562,0.362656387357232,-1.0254849243499553,-0.7922896135007438,-0.4856752220805422,7.0,669,533,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2003.0,-0.25551276035909093,3165,-0.3483285505067194,1823,463,404,0,-0.29096489235234274,-0.26114765090804254,-0.3236216453849957,-0.4676737812197975,-0.34449215501142005,-0.49949206409955244,1.6,2.7,7.8,3.671175127,1.81651529,0.621694349,1.524872927,1.708333333,378,504,633,760,-0.08019296699950675,0.4586115231111892,-0.4029691509692653,-1.126836927116941,-2.108149164022996,-0.40866141164371517,7.0,1129,953,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
