Unnamed: 0,year,total_dwelling,single_detached,total_dwelling_market,homeownership_freehold,rental,homeownership_condo,other,completed,res_building_permit,res_building_permit_amount,completed_but_unabsorbed_homes,new_single_and_semi_detached,new_rows_and_apartment,rental_vacancy_rate,rental_avilability_rate,vacancy_rate_seniors,vacancy_rate_condo,HPI_change,CPI_change,owned_accommodation_costs_change,rental_accommodation_costs_change,bachelor,one_bedroom,two_bedroom,three_bedroom,population,labour_participation_rate,employment_change,unemployment_rate,disposable_income_change,migration,region,Mortgage Rate,attached,multi_unit
0,1990.0,-0.3191553569435618,2847,-0.3796834432237139,2004,142,0,128,-0.264863566782703,-0.3279186100446511,-0.3803483900368771,-0.4114893855974203,-0.348811757496981,-0.4105181343614668,6.1,2.7,7.8,1.879370629,4.574565416,5.135322693,4.577354143,2.496930004,310,418,524,608,-0.103411546003232,0.1198491384236715,-0.5409382709952617,0.140063107470383,-3.9207390735437375,-0.7018981632025189,0,7.0,507,393
1,1991.0,-0.4134640231693948,1589,-0.4426947180107509,1085,143,148,62,-0.3992451813401199,-0.370703230682135,-0.4078624855123436,-0.4114893855974203,-0.348811757496981,-0.4105181343614668,6.2,2.7,7.8,-0.171600172,5.129046369,5.135322693,5.829326923,3.184904153,318,424,531,630,-0.1017400896215123,0.0486443057920173,-1.1840128830799417,0.7481751240722981,-3.9207390735437375,-0.7018981632025189,0,7.0,375,347
2,1992.0,-0.3882590344230697,1683,-0.4138271124564026,1383,170,136,132,-0.3992451813401199,-0.3381599680555134,-0.3872716312924597,-0.4114893855974203,-0.348811757496981,-0.4105181343614668,5.8,2.7,7.8,-0.042973786,1.414750858,5.135322693,0.359644142,2.844702467,324,434,545,644,-0.1005073755556254,-0.0937653594712982,-1.1789855578241974,1.102907133756749,-2.3979952314680597,-0.7018981632025189,0,7.0,691,563
3,1993.0,-0.3802074407957714,1874,-0.4227964207095813,1338,151,204,9,-0.3713160318510375,-0.350826910858422,-0.3868824309543235,-0.3428195687256259,-0.1673884531034206,-0.4200999421794145,5.6,2.7,7.8,3.568357696,2.687455124,5.135322693,-0.028291211,1.731112993,327,435,550,652,-0.0985378301323656,0.0033321395718694,-0.318660498978727,1.102907133756749,-2.480079340044778,-0.5923260128943779,0,7.0,603,499
4,1994.0,-0.3261567427064298,2441,-0.4256605695635376,1289,79,259,37,-0.3403161381772918,-0.3461104959849986,-0.3839996618739418,-0.3508459109573941,-0.132831633218933,-0.4543206843863705,5.5,2.7,7.8,3.424657534,1.378483668,5.135322693,1.480992359,0.906316471,329,440,551,645,-0.0962953694069984,-0.0225605268396404,-0.3156556864982775,0.8495271268392846,-2.080196208332375,-0.5701406161550171,0,7.0,828,684
5,1995.0,-0.4125538430202219,1564,-0.4595027494431782,919,12,284,0,-0.4019503607408948,-0.395902361577283,-0.4066072172101443,-0.3419277529220961,-0.0853160058777624,-0.4707466406457093,5.2,2.7,7.8,1.505117399,2.689920189,5.135322693,3.402119353,1.173128036,335,443,554,655,-0.0939298370666254,-0.0678726930597846,0.0799101925818606,0.0893871060868898,-2.3977081748772804,-0.5375399377403075,0,7.0,444,354
6,1996.0,-0.3876989235620403,1875,-0.4573923239718421,927,105,211,0,-0.4432591813202967,-0.3843134564597283,-0.3980416282969954,-0.4658901496127379,-0.3747293724103467,-0.4775907890871006,5.6,2.7,7.8,0.929221036,2.21646517,5.135322693,0.647249191,0.914937947,330,440,559,645,-0.09191354041299,-0.1023962474120441,-0.540951647363829,0.038711104703397,-2.219576020936567,-0.5433826567289178,0,7.0,569,317
7,1997.0,-0.3671148494192081,2019,-0.4256605695635376,1266,187,211,0,-0.34419112488651,-0.3565539860618648,-0.3842810455879803,-0.4355684122927248,-0.3034559313985909,-0.4762219593988223,5.5,2.7,7.8,1.371204701,2.102694077,5.135322693,-0.080385852,1.005385996,332,445,561,656,-0.0911415457370439,-0.0592418051190388,-0.0612965978993468,-0.3160209049810538,-2.753701971171421,-0.640507275278715,0,7.0,736,450
8,1998.0,-0.3473009277102915,2368,-0.4111890806172324,1312,281,263,0,-0.3589599421556059,-0.323336949881897,-0.3733406629676574,-0.3767085692597582,-0.2775383164852252,-0.4023051562317974,3.9,2.7,7.8,0.792270531,1.259538476,5.135322693,0.670421024,0.862068966,339,451,566,662,-0.0905977130486574,0.0335402512483885,0.1352232711958617,-0.8227809188159834,-0.4837065181434766,-0.6417350930371911,0,7.0,658,396
9,1999.0,-0.3306376295946654,2231,-0.393250464110875,1286,455,353,0,-0.353768922224389,-0.3473232883810218,-0.3770336474658483,-0.4400274913103738,-0.3228941425836152,-0.4707466406457093,3.2,2.7,7.8,1.610429448,2.006537135,-0.761614623,2.122180785,0.854700855,338,454,574,668,-0.0886161801304294,0.171634471246695,-0.1010414308842139,-0.7721049174324905,0.21467361980839,-0.4769534821410224,0,7.0,992,812
10,2000.0,-0.3707555700158995,2348,-0.4380970053767686,1301,112,86,0,-0.355742972057387,-0.3786537586116202,-0.3799043976438716,-0.4043548591691819,-0.2019452729879083,-0.4926479156581612,2.2,2.7,7.8,2.849056604,2.447708055,4.205679202,2.947569777,1.022191158,339,471,581,719,-0.0866722080297682,0.2687319702898628,0.1482648731741999,-1.076160925733448,-1.798072557675926,-0.4870300554692054,0,7.0,264,160
