,Month-Year,Canada,Atlantic Region,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec 6,"Québec, Quebec","Sherbrooke, Quebec","Trois-Rivières, Quebec","Montréal, Quebec","Ottawa-Gatineau, Quebec part, Ontario/Quebec 7",Ontario 8,"Ottawa-Gatineau, Ontario part, Ontario/Quebec 9","Oshawa, Ontario 10","Toronto, Ontario 11","Hamilton, Ontario","St. Catharines-Niagara, Ontario","Kitchener-Cambridge-Waterloo, Ontario","Guelph, Ontario","London, Ontario","Windsor, Ontario","Greater Sudbury, Ontario 12",Prairie Region,Manitoba,Saskatchewan,Alberta,British Columbia 13,"Kelowna, British Columbia","Vancouver, British Columbia","Victoria, British Columbia"
Total (house and land),Dec-81,40.3,,,,,,,32,,,31.5,,,36.3,,32.5,32.7,31.2,35.4,,34.2,58.3,58.2,,,,,,,77.8,126
,Jan-82,40.3,,,,,,,32.4,,,32,,,36.9,,32.7,32.7,31.2,35.4,,34.2,58.3,58.2,,,,,,,77.5,126
,Feb-82,40.3,,,,,,,32.7,,,32,,,37,,32.4,33.1,31.2,35.4,,34.2,58.3,58.5,,,,,,,76.8,121.8
,Mar-82,40.1,,,,,,,32.7,,,32.1,,,37.2,,32.4,33.1,31.2,35.4,,34.2,58.3,58.7,,,,,,,74.3,119
,Apr-82,39.9,,,,,,,32.9,,,32.1,,,37.3,,32.4,33.1,31.2,35.4,,34.2,58.3,58.2,,,,,,,73.1,117.4
,May-82,39.6,,,,,,,33,,,32.1,,,37.3,,32.3,33.1,31.2,35.9,,34.3,57.1,58.4,,,,,,,70.6,116
,Jun-82,39.3,,,,,,,33,,,32.1,,,37.3,,32.1,34.2,31.1,36.2,,34.3,56.7,58.4,,,,,,,68.1,115.2
,Jul-82,39,,,,,,,33,,,32.3,,,37.3,,32.1,34.2,31.1,36.2,,34.3,56.7,58.4,,,,,,,66,109.4
,Aug-82,38.8,,,,,,,33.3,,,32.3,,,37.4,,31.6,34.2,31.1,36.2,,34.3,56.7,58,,,,,,,65.5,109.1
,Sep-82,38.4,,,,,,,33.6,,,32.4,,,37.4,,31.5,34.9,31.1,36.2,,34.3,56.7,58.8,,,,,,,65,105.9
,Oct-82,38.3,,,,,,,33.6,,,32.8,,,37.9,,31.1,35.1,31.1,36.7,,34,55.4,58.8,,,,,,,65.2,105.9
,Nov-82,38,,,,,,,33.7,,,32.5,,,38.1,,30.9,35.2,31.1,36.7,,34,54.8,58.8,,,,,,,64.8,105.9
,Dec-82,37.9,,,,,,,33.7,,,32.4,,,38.2,,30.7,35.3,31.9,36.8,,34,54.5,58.8,,,,,,,64.6,108.7
,Jan-83,37.9,,,,,,,34.1,,,32.7,,,38.3,,30.7,35.3,31.9,37.1,,34,54.5,58.8,,,,,,,65.1,107.8
,Feb-83,37.9,,,,,,,34.4,,,32.3,,,38.9,,30.6,35.3,31.9,37.1,,34,54.5,58.8,,,,,,,65.9,107.8
,Mar-83,37.8,,,,,,,34.4,,,32.4,,,39.3,,30.6,35.3,31.8,37.5,,34.1,54.5,58.7,,,,,,,66.5,106.9
,Apr-83,37.8,,,,,,,34.4,,,32.4,,,39.9,,30.5,35.4,33.1,37.8,,33.8,54.7,58.7,,,,,,,66.6,108.2
,May-83,37.7,,,,,,,35.1,,,33.1,,,40.1,,30.4,35.4,33.1,37.8,,34.2,55.4,59.7,,,,,,,66.7,108.8
,Jun-83,37.8,,,,,,,35.4,,,33.5,,,40.1,,30.6,35.4,33.1,37.8,,34.5,55.4,59.7,,,,,,,66.7,109.8
,Jul-83,37.8,,,,,,,35.6,,,33.7,,,40.1,,30.5,35.4,33.1,38.1,,34.8,55.4,59.7,,,,,,,66.8,111
,Aug-83,38,,,,,,,36,,,34.2,,,41,,30.5,35.5,33.1,38.3,,34.9,55.4,60,,,,,,,66.8,111
,Sep-83,38,,,,,,,36.1,,,34.5,,,41.1,,30.5,35.8,33.1,38.3,,35,56.3,60,,,,,,,66.8,111
,Oct-83,37.9,,,,,,,36.2,,,34.6,,,41.9,,30.5,35.9,33.1,38.3,,34.8,56.3,60.2,,,,,,,67,108.7
,Nov-83,38,,,,,,,36.2,,,34.9,,,42.5,,30.5,35.9,33.2,38.5,,34.7,57.9,60.2,,,,,,,67,108.4
,Dec-83,37.9,,,,,,,36.2,,,35.1,,,42.6,,30.5,36,33.2,38.5,,34.7,57.9,61,,,,,,,67,105
,Jan-84,38,,,,,,,36.3,,,35.1,,,42.7,,30.5,37,33.4,38.5,,34.8,58.6,61.6,,,,,,,67.1,104.9
,Feb-84,38,,,,,,,36.6,,,35.5,,,43.5,,30.5,37,33.4,39.1,,35.7,58.7,63.7,,,,,,,67.1,104.9
,Mar-84,38.1,,,,,,,36.6,,,35.5,,,43.6,,30.6,37.2,34,39.1,,35.9,58.7,62.3,,,,,,,67.3,104.9
,Apr-84,38.2,,,,,,,36.7,,,35.6,,,44.4,,30.6,37.2,34.2,39.1,,36.1,59.3,62.1,,,,,,,67.4,104.9
,May-84,38.2,,,,,,,36.8,,,35.7,,,44.7,,30.7,37.2,34.2,39.4,,36.1,59,62.1,,,,,,,67.4,104.5
,Jun-84,38.1,,,,,,,37,,,35.7,,,44.5,,30.7,37.2,34.2,39.4,,36.1,59.3,62.1,,,,,,,67.4,103.9
,Jul-84,38.1,,,,,,,37,,,35.7,,,44.1,,30.8,37.2,35.1,39.4,,36.4,59.3,62.1,,,,,,,67.4,102.2
,Aug-84,38,,,,,,,37.5,,,35.8,,,44.1,,30.7,37.3,35.1,39.3,,36.4,59.3,62.1,,,,,,,67.1,100.6
,Sep-84,37.9,,,,,,,37.6,,,35.9,,,43.6,,30.7,37.4,35.3,39.6,,36.4,59.1,62.1,,,,,,,66.2,99.7
,Oct-84,37.9,,,,,,,37.6,,,35.9,,,43.5,,30.8,37.6,35.3,39.7,,36.4,58.7,62.1,,,,,,,65.6,98.3
,Nov-84,37.8,,,,,,,37.6,,,36,,,43.6,,30.8,37.9,35.9,39.7,,36.5,58.9,62.2,,,,,,,65.2,97.8
,Dec-84,37.9,,,,,,,37.8,,,36.2,,,43.8,,30.8,38,35.9,39.7,,36.5,58.9,62.7,,,,,,,65.2,97.8
,Jan-85,38,,,,,,,38.1,,,36.2,,,43.9,,30.9,38,35.9,40,,36.5,58.9,62.7,,,,,,,65.2,97.9
,Feb-85,38,,,,,,,38.3,,,36.3,,,43.8,,31,38,35.9,40.3,,36.5,58.9,62,,,,,,,65.2,97.9
,Mar-85,38.1,,,,,,,38.5,,,36.5,,,43.9,,31.1,38.4,37.6,41,,36.6,60.5,62,,,,,,,64.7,97.6
,Apr-85,38.1,,,,,,,38.6,,,36.5,,,43.9,,31.1,38.5,37.6,41.5,,36.6,60.5,62.8,,,,,,,64.7,97.3
,May-85,38.1,,,,,,,38.7,,,36.6,,,43.6,,31.1,38.5,38.7,41.5,,36.9,62.1,62.8,,,,,,,63.7,95.9
,Jun-85,38.3,,,,,,,39,,,36.9,,,43.5,,31.3,39.2,39.3,41.9,,37.3,62.3,62.8,,,,,,,63.7,95.4
,Jul-85,38.4,,,,,,,39.1,,,36.9,,,43.4,,31.5,39.4,39.3,43.3,,37.5,62.3,62.8,,,,,,,63.8,94.6
,Aug-85,38.5,,,,,,,39.4,,,37.2,,,43.4,,31.7,40,39.7,43.8,,37.8,62.7,62.8,,,,,,,63.8,94.1
,Sep-85,38.8,,,,,,,39.5,,,37.2,,,43.6,,31.9,40.2,39.7,44.4,,38,63.1,62.8,,,,,,,63.8,94.2
,Oct-85,38.9,,,,,,,39.7,,,37.6,,,43.9,,32,40.2,39.7,45,,38.5,63.3,62.8,,,,,,,63.8,94.6
,Nov-85,39.2,,,,,,,40,,,37.6,,,43.9,,32.3,40.7,39.7,45.8,,38.8,64.4,62.8,,,,,,,64,94.6
,Dec-85,39.3,,,,,,,40,,,37.9,,,43.9,,32.5,41.1,40.2,45.8,,38.8,64.7,62.8,,,,,,,64.1,93.6
,Jan-86,39.8,51,38.7,,50.7,70.5,38.5,40.2,,,38.1,,36.7,44.1,,33.3,41.1,41.2,46.3,,39.9,65.5,62.8,28.8,34.7,29.9,26.4,66.3,,63.8,92.6
,Feb-86,40.3,51.3,38.8,,50.7,71.6,38.8,40.5,,,38.4,,37.3,44.3,,34.1,41.6,41.2,47.3,,40.4,67.4,62.8,29.1,34.8,30.1,26.8,66.4,,63.9,92.9
