REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
2/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
3/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
4/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
5/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
6/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
7/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
8/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
9/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
10/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
11/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
12/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
1/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
2/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
3/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
4/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.9,,,,2
5/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.8,,,,2
6/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.95,,,,2
7/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
8/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
9/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
10/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
11/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
12/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
1/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
2/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
3/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
4/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.94,,,,2
5/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.91,,,,2
6/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.91,,,,2
7/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.91,,,,2
8/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
9/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
10/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
11/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
12/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
1/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
2/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
3/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
4/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.95,,,,2
5/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.88,,,,2
6/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.88,,,,2
7/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.88,,,,2
8/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
9/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
10/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
11/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
12/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
1/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.9,,,,2
2/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.85,,,,2
3/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.82,,,,2
4/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.82,,,,2
5/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.83,,,,2
6/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.83,,,,2
7/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.02,,,,2
8/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.13,,,,2
9/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.15,,,,2
10/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.25,,,,2
11/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.29,,,,2
12/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.4,,,,2
1/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.38,,,,2
2/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.45,,,,2
3/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.46,,,,2
4/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.48,,,,2
5/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.51,,,,2
6/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.57,,,,2
7/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.68,,,,2
8/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.8,,,,2
9/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.84,,,,2
10/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.87,,,,2
11/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.91,,,,2
12/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.95,,,,2
1/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.93,,,,2
2/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.89,,,,2
3/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.83,,,,2
4/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.8,,,,2
5/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.77,,,,2
6/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.88,,,,2
7/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.02,,,,2
8/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.05,,,,2
9/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.1,,,,2
10/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.49,,,,2
11/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.52,,,,2
12/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.52,,,,2
1/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.83,,,,2
2/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.84,,,,2
3/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.96,,,,2
4/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.2,,,,2
5/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.23,,,,2
6/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.18,,,,2
7/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.14,,,,2
8/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.12,,,,2
9/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.03,,,,2
10/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.01,,,,2
11/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.09,,,,2
12/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.1,,,,2
1/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.45,,,,2
2/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.45,,,,2
3/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.48,,,,2
4/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.52,,,,2
5/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.46,,,,2
6/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.69,,,,2
7/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.9,,,,2
8/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.99,,,,2
9/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.11,,,,2
10/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.21,,,,2
11/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.3,,,,2
12/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.5,,,,2
1/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.58,,,,2
2/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.54,,,,2
3/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.58,,,,2
4/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.6,,,,2
5/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.58,,,,2
6/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.53,,,,2
7/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.38,,,,2
8/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.4,,,,2
9/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.36,,,,2
10/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.35,,,,2
11/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.28,,,,2
12/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.16,,,,2
1/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.94,,,,2
2/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.72,,,,2
3/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.28,,,,2
4/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.2,,,,2
5/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.25,,,,2
6/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.34,,,,2
7/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.46,,,,2
8/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.53,,,,2
9/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.55,,,,2
10/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.55,,,,2
11/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.26,,,,2
12/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.1,,,,2
1/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.04,,,,2
2/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.93,,,,2
3/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.97,,,,2
4/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.03,,,,2
5/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.16,,,,2
6/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.37,,,,2
7/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.41,,,,2
8/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.41,,,,2
9/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.38,,,,2
10/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.35,,,,2
11/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.3,,,,2
12/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.22,,,,2
1/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.09,,,,2
2/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.02,,,,2
3/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.07,,,,2
4/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.15,,,,2
5/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.3,,,,2
6/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.52,,,,2
7/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.71,,,,2
8/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.91,,,,2
9/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.13,,,,2
10/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.13,,,,2
