DATE,IRSTCB01CAM156N,,,
1/1/1961,3.47,,,
2/1/1961,3.11,,,
3/1/1961,3.46,,,
4/1/1961,3.57,,,
5/1/1961,3.42,,,
6/1/1961,2.8,,,
7/1/1961,2.88,,,
8/1/1961,2.76,,,
9/1/1961,2.67,,,
10/1/1961,2.74,,,
11/1/1961,2.67,,,
12/1/1961,3.18,,,
1/1/1962,3.35,,,
2/1/1962,3.42,,,
3/1/1962,3.35,,,
4/1/1962,3.35,,,
5/1/1962,3.75,,,
6/1/1962,6,,,
7/1/1962,6,,,
8/1/1962,6,,,
9/1/1962,5.5,,,
10/1/1962,5,,,
11/1/1962,4,,,
12/1/1962,4,,,
1/1/1963,4,,,
2/1/1963,4,,,
3/1/1963,4,,,
4/1/1963,4,,,
5/1/1963,3.5,,,
6/1/1963,3.5,,,
7/1/1963,3.5,,,
8/1/1963,4,,,
9/1/1963,4,,,
10/1/1963,4,,,
11/1/1963,4,,,
12/1/1963,4,,,
1/1/1964,4,,,
2/1/1964,4,,,
3/1/1964,4,,,
4/1/1964,4,,,
5/1/1964,4,,,
6/1/1964,4,,,
7/1/1964,4,,,
8/1/1964,4,,,
9/1/1964,4,,,
10/1/1964,4,,,
11/1/1964,4.25,,,
12/1/1964,4.25,,,
1/1/1965,4.25,,,
2/1/1965,4.25,,,
3/1/1965,4.25,,,
4/1/1965,4.25,,,
5/1/1965,4.25,,,
6/1/1965,4.25,,,
7/1/1965,4.25,,,
8/1/1965,4.25,,,
9/1/1965,4.25,,,
10/1/1965,4.25,,,
11/1/1965,4.25,,,
12/1/1965,4.75,,,
1/1/1966,4.75,,,
2/1/1966,4.75,,,
3/1/1966,5.25,,,
4/1/1966,5.25,,,
5/1/1966,5.25,,,
6/1/1966,5.25,,,
7/1/1966,5.25,,,
8/1/1966,5.25,,,
9/1/1966,5.25,,,
10/1/1966,5.25,,,
11/1/1966,5.25,,,
12/1/1966,5.25,,,
1/1/1967,5.25,,,
2/1/1967,5,,,
3/1/1967,5,,,
4/1/1967,4.5,,,
5/1/1967,4.5,,,
6/1/1967,4.5,,,
7/1/1967,4.5,,,
8/1/1967,4.5,,,
9/1/1967,5,,,
10/1/1967,5,,,
11/1/1967,6,,,
12/1/1967,6,,,
1/1/1968,7,,,
2/1/1968,7,,,
3/1/1968,7.5,,,
4/1/1968,7.5,,,
5/1/1968,7.5,,,
6/1/1968,7.5,,,
7/1/1968,6.5,,,
8/1/1968,6.5,,,
9/1/1968,6,,,
10/1/1968,6,,,
11/1/1968,6,,,
12/1/1968,6.5,,,
1/1/1969,6.5,,,
2/1/1969,6.5,,,
3/1/1969,7,,,
4/1/1969,7,,,
5/1/1969,7,,,
6/1/1969,7.5,,,
7/1/1969,8,,,
8/1/1969,8,,,
9/1/1969,8,,,
10/1/1969,8,,,
11/1/1969,8,,,
12/1/1969,8,,,
1/1/1970,8,,,
2/1/1970,8,,,
3/1/1970,8,,,
4/1/1970,8,,,
5/1/1970,7.5,,,
6/1/1970,7,,,
7/1/1970,7,,,
8/1/1970,7,,,
9/1/1970,6.5,,,
10/1/1970,6.5,,,
11/1/1970,6,,,
12/1/1970,6,,,
1/1/1971,6,,,
2/1/1971,5.25,,,
3/1/1971,5.25,,,
4/1/1971,5.25,,,
5/1/1971,5.25,,,
6/1/1971,5.25,,,
7/1/1971,5.25,,,
8/1/1971,5.25,,,
9/1/1971,5.25,,,
10/1/1971,4.75,,,
11/1/1971,4.75,,,
12/1/1971,4.75,,,
1/1/1972,4.75,,,
2/1/1972,4.75,,,
3/1/1972,4.75,,,
4/1/1972,4.75,,,
5/1/1972,4.75,,,
6/1/1972,4.75,,,
7/1/1972,4.75,,,
8/1/1972,4.75,,,
9/1/1972,4.75,,,
10/1/1972,4.75,,,
11/1/1972,4.75,,,
12/1/1972,4.75,,,
1/1/1973,4.75,,,
2/1/1973,4.75,,,
3/1/1973,4.75,,,
4/1/1973,5.25,,,
5/1/1973,5.75,,,
6/1/1973,6.25,,,
7/1/1973,6.25,,,
8/1/1973,6.75,,,
9/1/1973,7.25,,,
10/1/1973,7.25,,,
11/1/1973,7.25,,,
12/1/1973,7.25,,,
1/1/1974,7.25,,,
2/1/1974,7.25,,,
3/1/1974,7.25,,,
4/1/1974,8.25,,,
5/1/1974,8.75,,,
6/1/1974,8.75,,,
7/1/1974,9.25,,,
8/1/1974,9.25,,,
9/1/1974,9.25,,,
10/1/1974,9.25,,,
11/1/1974,8.75,,,
12/1/1974,8.75,,,
1/1/1975,8.25,,,
2/1/1975,8.25,,,
3/1/1975,8.25,,,
4/1/1975,8.25,,,
5/1/1975,8.25,,,
6/1/1975,8.25,,,
7/1/1975,8.25,,,
8/1/1975,8.25,,,
9/1/1975,9,,,
10/1/1975,9,,,
11/1/1975,9,,,
12/1/1975,9,,,
1/1/1976,9,,,
2/1/1976,9,,,
3/1/1976,9.5,,,
4/1/1976,9.5,,,
5/1/1976,9.5,,,
6/1/1976,9.5,,,
7/1/1976,9.5,,,
8/1/1976,9.5,,,
9/1/1976,9.5,,,
10/1/1976,9.5,,,
11/1/1976,9,,,
12/1/1976,8.5,,,
1/1/1977,8.5,,,
2/1/1977,8,,,
3/1/1977,8,,,
4/1/1977,8,,,
5/1/1977,7.5,,,
6/1/1977,7.5,,,
7/1/1977,7.5,,,
8/1/1977,7.5,,,
9/1/1977,7.5,,,
10/1/1977,7.5,,,
11/1/1977,7.5,,,
12/1/1977,7.5,,,
1/1/1978,7.5,,,
2/1/1978,7.5,,,
3/1/1978,8,,,
4/1/1978,8.5,,,
5/1/1978,8.5,,,
6/1/1978,8.5,,,
7/1/1978,9,,,
8/1/1978,9,,,
9/1/1978,9.5,,,
10/1/1978,10.25,,,
11/1/1978,10.75,,,
12/1/1978,10.75,,,
1/1/1979,11.25,,,
2/1/1979,11.25,,,
3/1/1979,11.25,,,
4/1/1979,11.25,,,
5/1/1979,11.25,,,
6/1/1979,11.25,,,
7/1/1979,11.75,,,
8/1/1979,11.75,,,
9/1/1979,12.25,,,
10/1/1979,14,,,
11/1/1979,14,,,
12/1/1979,14,,,
1/1/1980,14,,,
2/1/1980,14,,,
3/1/1980,14.79,,,
4/1/1980,15.67,,,
5/1/1980,11.83,,,
6/1/1980,10.67,,,
7/1/1980,10.18,,,
8/1/1980,10.45,,,
9/1/1980,11.02,,,
