Date,Mortgage Rate,Interest Rate,CPI_change
1/1/1961,7,3.47,1.29
2/1/1961,7,3.11,1.29
3/1/1961,7,3.46,1.95
4/1/1961,7,3.57,1.29
5/1/1961,7,3.42,1.29
6/1/1961,7,2.8,1.29
7/1/1961,7,2.88,1.29
8/1/1961,7,2.76,1.29
9/1/1961,7,2.67,1.29
10/1/1961,7,2.74,0.00
11/1/1961,7,2.67,0.00
12/1/1961,7,3.18,0.00
1/1/1962,7,3.35,0.00
2/1/1962,7,3.42,0.00
3/1/1962,7,3.35,0.00
4/1/1962,6.9,3.35,0.64
5/1/1962,6.8,3.75,0.64
6/1/1962,6.95,6,1.27
7/1/1962,7,6,1.27
8/1/1962,7,6,1.91
9/1/1962,7,5.5,1.27
10/1/1962,7,5,1.91
11/1/1962,7,4,1.91
12/1/1962,7,4,1.91
1/1/1963,7,4,1.91
2/1/1963,7,4,1.91
3/1/1963,7,4,1.91
4/1/1963,6.94,4,1.27
5/1/1963,6.91,3.5,1.27
6/1/1963,6.91,3.5,0.63
7/1/1963,6.91,3.5,1.89
8/1/1963,7,4,1.88
9/1/1963,7,4,1.89
10/1/1963,7,4,1.25
11/1/1963,7,4,1.88
12/1/1963,7,4,1.88
1/1/1964,7,4,1.88
2/1/1964,7,4,1.88
3/1/1964,7,4,1.88
4/1/1964,6.95,4,2.50
5/1/1964,6.88,4,2.50
6/1/1964,6.88,4,2.50
7/1/1964,6.88,4,1.85
8/1/1964,7,4,1.23
9/1/1964,7,4,1.85
10/1/1964,7,4,1.85
11/1/1964,7,4.25,1.23
12/1/1964,7,4.25,1.84
1/1/1965,6.9,4.25,1.84
2/1/1965,6.85,4.25,1.84
3/1/1965,6.82,4.25,1.84
4/1/1965,6.82,4.25,1.83
5/1/1965,6.83,4.25,1.83
6/1/1965,6.83,4.25,3.05
7/1/1965,7.02,4.25,2.42
8/1/1965,7.13,4.25,2.42
9/1/1965,7.15,4.25,2.42
10/1/1965,7.25,4.25,2.42
11/1/1965,7.29,4.25,3.03
12/1/1965,7.4,4.75,3.01
1/1/1966,7.38,4.75,3.01
2/1/1966,7.45,4.75,3.61
3/1/1966,7.46,5.25,4.22
4/1/1966,7.48,5.25,4.19
5/1/1966,7.51,5.25,4.19
6/1/1966,7.57,5.25,3.55
7/1/1966,7.68,5.25,3.55
8/1/1966,7.8,5.25,4.14
9/1/1966,7.84,5.25,4.14
10/1/1966,7.87,5.25,4.14
11/1/1966,7.91,5.25,3.53
12/1/1966,7.95,5.25,3.51
1/1/1967,7.93,5.25,3.51
2/1/1967,7.89,5,2.91
3/1/1967,7.83,5,2.89
4/1/1967,7.8,4.5,2.87
5/1/1967,7.77,4.5,3.45
