Mortgage Rate,Interest Rate
7.0,3.47
7.0,3.35
7.0,4.0
7.0,4.0
6.9,4.25
7.38,4.75
7.93,5.25
8.83,7.0
9.45,6.5
10.58,8.0
9.94,6.0
9.04,4.75
9.09,4.75
10.02,7.25
11.81,8.25
11.84,9.0
10.75,8.5
10.32,7.5
11.28,11.25
13.26,14.0
15.17,17.0
18.21,14.72
14.05,9.81
12.55,9.98
12.44,9.66
11.67,10.33
10.85,7.74
11.73,8.63
12.24,11.54
12.01,12.29
12.13,10.88
9.71,7.08
9.47,6.81
7.33,3.88
10.6,8.38
8.02,5.37
7.14,3.25
6.9,4.5
6.79,5.25
8.34,5.0
7.58,5.75
6.62,2.25
6.26,3.0
5.78,2.75
5.6,2.75
5.65,3.75
5.91,4.5
6.81,4.25
5.78,1.25
4.8,0.5
4.55,1.25
4.31,1.25
4.14,1.25
4.38,1.25
3.96,1.0
3.76,0.75
3.73,0.75
4.14,1.5
4.59,2.0
4.08,2.0
3.3,0.5
3.44,0.5
5.86,4.26
7.0,2.74
7.0,5.0
7.0,4.0
7.0,4.0
7.25,4.25
7.87,5.25
8.49,5.0
9.01,6.0
10.21,8.0
10.35,6.5
9.55,4.75
9.35,4.75
10.13,7.25
12.05,9.25
12.15,9.0
11.6,9.5
10.34,7.5
10.93,10.25
13.5,14.0
14.87,11.76
20.54,18.3
16.02,11.53
13.1,9.45
13.72,11.71
11.96,8.77
11.25,8.62
11.97,8.26
11.79,10.51
11.75,12.43
13.21,12.66
10.84,8.17
9.23,7.37
8.55,4.63
9.84,5.62
8.75,7.65
7.5,3.5
6.73,3.75
6.73,5.5
7.9,4.75
8.08,6.0
6.74,3.0
6.5,3.0
5.83,3.0
5.95,2.75
5.39,3.25
6.01,4.5
6.69,4.75
6.46,2.5
5.0,0.5
4.52,1.25
4.35,1.25
4.17,1.25
4.4,1.25
4.0,1.25
3.72,0.75
3.68,0.75
3.98,1.25
4.48,2.0
4.09,2.0
3.45,0.5
3.29,0.5
5.75,3.23
7.0,2.67
7.0,4.0
7.0,4.0
7.0,4.25
7.29,4.25
7.91,5.25
