Date,Mortgage Rate,Interest Rate
"Sunday, January 1, 1961",7,3.47
"Monday, January 2, 1961",7,3.11
"Tuesday, January 3, 1961",7,3.46
"Wednesday, January 4, 1961",7,3.57
"Thursday, January 5, 1961",7,3.42
"Friday, January 6, 1961",7,2.8
"Saturday, January 7, 1961",7,2.88
"Sunday, January 8, 1961",7,2.76
"Monday, January 9, 1961",7,2.67
"Tuesday, January 10, 1961",7,2.74
"Wednesday, January 11, 1961",7,2.67
"Thursday, January 12, 1961",7,3.18
"Friday, January 13, 1961",7,3.35
"Saturday, January 14, 1961",7,3.42
"Sunday, January 15, 1961",7,3.35
"Monday, January 16, 1961",6.9,3.35
"Tuesday, January 17, 1961",6.8,3.75
"Wednesday, January 18, 1961",6.95,6
"Thursday, January 19, 1961",7,6
"Friday, January 20, 1961",7,6
"Saturday, January 21, 1961",7,5.5
"Sunday, January 22, 1961",7,5
"Monday, January 23, 1961",7,4
"Tuesday, January 24, 1961",7,4
"Wednesday, January 25, 1961",7,4
"Thursday, January 26, 1961",7,4
"Friday, January 27, 1961",7,4
"Saturday, January 28, 1961",6.94,4
"Sunday, January 29, 1961",6.91,3.5
"Monday, January 30, 1961",6.91,3.5
"Tuesday, January 31, 1961",6.91,3.5
"Wednesday, February 1, 1961",7,4
"Thursday, February 2, 1961",7,4
"Friday, February 3, 1961",7,4
"Saturday, February 4, 1961",7,4
"Sunday, February 5, 1961",7,4
"Monday, February 6, 1961",7,4
"Tuesday, February 7, 1961",7,4
"Wednesday, February 8, 1961",7,4
"Thursday, February 9, 1961",6.95,4
"Friday, February 10, 1961",6.88,4
"Saturday, February 11, 1961",6.88,4
"Sunday, February 12, 1961",6.88,4
"Monday, February 13, 1961",7,4
"Tuesday, February 14, 1961",7,4
"Wednesday, February 15, 1961",7,4
"Thursday, February 16, 1961",7,4.25
"Friday, February 17, 1961",7,4.25
"Saturday, February 18, 1961",6.9,4.25
"Sunday, February 19, 1961",6.85,4.25
"Monday, February 20, 1961",6.82,4.25
"Tuesday, February 21, 1961",6.82,4.25
"Wednesday, February 22, 1961",6.83,4.25
"Thursday, February 23, 1961",6.83,4.25
"Friday, February 24, 1961",7.02,4.25
"Saturday, February 25, 1961",7.13,4.25
"Sunday, February 26, 1961",7.15,4.25
"Monday, February 27, 1961",7.25,4.25
"Tuesday, February 28, 1961",7.29,4.25
"Wednesday, March 1, 1961",7.4,4.75
"Thursday, March 2, 1961",7.38,4.75
"Friday, March 3, 1961",7.45,4.75
"Saturday, March 4, 1961",7.46,5.25
"Sunday, March 5, 1961",7.48,5.25
"Monday, March 6, 1961",7.51,5.25
"Tuesday, March 7, 1961",7.57,5.25
"Wednesday, March 8, 1961",7.68,5.25
"Thursday, March 9, 1961",7.8,5.25
"Friday, March 10, 1961",7.84,5.25
"Saturday, March 11, 1961",7.87,5.25
"Sunday, March 12, 1961",7.91,5.25
"Monday, March 13, 1961",7.95,5.25
"Tuesday, March 14, 1961",7.93,5.25
"Wednesday, March 15, 1961",7.89,5
"Thursday, March 16, 1961",7.83,5
"Friday, March 17, 1961",7.8,4.5
"Saturday, March 18, 1961",7.77,4.5
"Sunday, March 19, 1961",7.88,4.5
"Monday, March 20, 1961",8.02,4.5
"Tuesday, March 21, 1961",8.05,4.5
"Wednesday, March 22, 1961",8.1,5
"Thursday, March 23, 1961",8.49,5
"Friday, March 24, 1961",8.52,6
"Saturday, March 25, 1961",8.52,6
"Sunday, March 26, 1961",8.83,7
"Monday, March 27, 1961",8.84,7
"Tuesday, March 28, 1961",8.96,7.5
"Wednesday, March 29, 1961",9.2,7.5
"Thursday, March 30, 1961",9.23,7.5
"Friday, March 31, 1961",9.18,7.5
"Saturday, April 1, 1961",9.14,6.5
"Sunday, April 2, 1961",9.12,6.5
"Monday, April 3, 1961",9.03,6
"Tuesday, April 4, 1961",9.01,6
"Wednesday, April 5, 1961",9.09,6
"Thursday, April 6, 1961",9.1,6.5
"Friday, April 7, 1961",9.45,6.5
"Saturday, April 8, 1961",9.45,6.5
"Sunday, April 9, 1961",9.48,7
"Monday, April 10, 1961",9.52,7
"Tuesday, April 11, 1961",9.46,7
"Wednesday, April 12, 1961",9.69,7.5
"Thursday, April 13, 1961",9.9,8
"Friday, April 14, 1961",9.99,8
"Saturday, April 15, 1961",10.11,8
"Sunday, April 16, 1961",10.21,8
"Monday, April 17, 1961",10.3,8
"Tuesday, April 18, 1961",10.5,8
"Wednesday, April 19, 1961",10.58,8
"Thursday, April 20, 1961",10.54,8
"Friday, April 21, 1961",10.58,8
"Saturday, April 22, 1961",10.6,8
"Sunday, April 23, 1961",10.58,7.5
"Monday, April 24, 1961",10.53,7
