,Long-form data quality indicators – Housing characteristics (20),Tenure - Non-response rate,Tenure - Imputation rate,Condominium status - Non-response rate,Condominium status - Imputation rate,Number of rooms - Non-response rate,Number of rooms - Imputation rate,Number of bedrooms - Non-response rate,Number of bedrooms - Imputation rate,Period of construction - Non-response rate,Period of construction - Imputation rate,Dwelling condition - Non-response rate,Dwelling condition - Imputation rate,Rent monthly cash - Non-response rate,Rent monthly cash - Imputation rate,Monthly mortgage payments - Non-response rate,Monthly mortgage payments - Imputation rate,Value (owner estimated) - Non-response rate,Value (owner estimated) - Imputation rate,Monthly use or occupancy payment for dwelling - Non-response rate,Monthly use or occupancy payment for dwelling - Imputation rate
Geography,Long-form total non-response rate,,,,,,,,,,,,,,,,,,,,
Canada i1,4.3,3,2.8,3,2.4,2.9,5,2.9,3.2,3.7,3.7,2.9,2.9,5.3,5.4,4.9,5,5.9,7.1,44.5,44.8
Ontario i456,3.8,2.7,2.5,2.6,1.9,2.6,4.8,2.6,3,3.4,3.4,2.6,2.6,5.3,5.5,4.6,4.7,5.6,6.7,43.3,43.6
"Cornwall (CA), Ont. i457",2.3,2.5,2.1,2.3,1.6,2.2,3.8,2.1,2.4,4.4,4.4,2.3,2.3,4.5,4.9,4.2,4.3,5.5,6.6,0,0
South Stormont (3501011) TP i458,1.9,1.8,1.6,1.6,1.4,2,2.9,1.9,2.1,2.2,2.2,1.8,1.8,5.3,5.3,5,5.2,5.9,7.4,0,0
Cornwall (3501012) CY i459,2.5,2.6,2.2,2.4,1.7,2.3,4.1,2.2,2.5,4.9,4.9,2.4,2.4,4.5,4.9,3.8,4,5.4,6.2,0,0
"Hawkesbury (CA), Ont./Que. i460",4.1,4.5,3.4,3.5,3.3,3.5,4.8,3.5,3.8,5.4,5.4,3.8,3.8,7.3,7.9,5,5.7,7,8.6,0,0
Grenville (2476055) VL i461,4.4,3.3,2.2,2.8,2.8,2.2,2.2,2.2,2.8,2.8,2.8,2.8,2.8,3.5,3.5,3.2,4.2,5.3,10.5,0,0
Hawkesbury (3502008) T i462,4.1,4.7,3.6,3.6,3.3,3.7,5.3,3.6,3.9,5.9,5.9,4,4,7.9,8.7,5.4,5.9,7.3,8.4,0,0
"Ottawa - Gatineau (CMA), Ont./Que. i463",3.4,2.2,2,2.1,1.6,2.1,4.1,2,2.3,2.8,2.8,2.1,2.1,4.6,4.7,3.1,3.2,3.7,4.5,0,0
Thurso (2480050) V i464,8,4.6,3.5,4.2,3.9,3.9,4.6,3.5,3.9,4.2,4.2,3.9,3.9,5,7.9,6.5,6.5,7.6,8.2,0,0
Lochaber (2480055) CT i465,13,5.9,5.9,6.5,6.5,5.9,5.9,5.9,5.9,0,0,5.9,5.9,0,0,24,24,24,24,0,0
Lochaber-Partie-Ouest (2480060) CT i466,3.5,4.3,4.3,4.4,4.4,5.7,7.1,5.7,5.7,5.7,5.7,5.7,5.7,41.7,41.7,0,3.5,0,3.5,0,0
