REF_DATE,GEO,DGUID,Structural type of dwelling,Coordinate,Total - Household,Number of persons in private households,Average household size
2021,Canada,2021A000011124,Total - Structural type of dwelling,1.1,14978940,36328475,2.4
2021,Canada,2021A000011124,Single-detached house,1.2,7872310,21496250,2.7
2021,Canada,2021A000011124,Semi-detached house,1.3,746560,2004855,2.7
2021,Canada,2021A000011124,Row house,1.4,980105,2539830,2.6
2021,Canada,2021A000011124,Apartment or flat in a duplex,1.5,821490,2012905,2.5
2021,Canada,2021A000011124,Apartment in a building that has fewer than five storeys,1.6,2738020,4942490,1.8
2021,Canada,2021A000011124,Apartment in a building that has five or more storeys,1.7,1596155,2871345,1.8
2021,Canada,2021A000011124,Other single-attached house,1.8,34880,74700,2.1
2021,Canada,2021A000011124,Movable dwelling,1.9,189420,386105,2.0
2021,Newfoundland and Labrador,2021A000210,Total - Structural type of dwelling,2.1,223250,502100,2.3
2021,Newfoundland and Labrador,2021A000210,Single-detached house,2.2,161410,381190,2.4
2021,Newfoundland and Labrador,2021A000210,Semi-detached house,2.3,8695,18675,2.2
2021,Newfoundland and Labrador,2021A000210,Row house,2.4,10770,21785,2.0
2021,Newfoundland and Labrador,2021A000210,Apartment or flat in a duplex,2.5,27535,57690,2.1
2021,Newfoundland and Labrador,2021A000210,Apartment in a building that has fewer than five storeys,2.6,12330,18285,1.5
2021,Newfoundland and Labrador,2021A000210,Apartment in a building that has five or more storeys,2.7,810,1060,1.3
2021,Newfoundland and Labrador,2021A000210,Other single-attached house,2.8,410,815,2.0
2021,Newfoundland and Labrador,2021A000210,Movable dwelling,2.9,1295,2600,2.0
2021,"Corner Brook (CA), N.L.",2021S0504015,Total - Structural type of dwelling,3.1,13245,28980,2.2
2021,"Corner Brook (CA), N.L.",2021S0504015,Single-detached house,3.2,9320,21875,2.4
2021,"Corner Brook (CA), N.L.",2021S0504015,Semi-detached house,3.3,445,845,1.9
2021,"Corner Brook (CA), N.L.",2021S0504015,Row house,3.4,430,830,1.9
2021,"Corner Brook (CA), N.L.",2021S0504015,Apartment or flat in a duplex,3.5,1925,3835,2.0
2021,"Corner Brook (CA), N.L.",2021S0504015,Apartment in a building that has fewer than five storeys,3.6,1055,1465,1.4
2021,"Corner Brook (CA), N.L.",2021S0504015,Apartment in a building that has five or more storeys,3.7,5,5,
2021,"Corner Brook (CA), N.L.",2021S0504015,Other single-attached house,3.8,65,95,1.6
2021,"Corner Brook (CA), N.L.",2021S0504015,Movable dwelling,3.9,10,20,1.9
2021,"Gander (CA), N.L.",2021S0504011,Total - Structural type of dwelling,4.1,5745,13080,2.3
2021,"Gander (CA), N.L.",2021S0504011,Single-detached house,4.2,3955,9630,2.4
2021,"Gander (CA), N.L.",2021S0504011,Semi-detached house,4.3,360,810,2.3
2021,"Gander (CA), N.L.",2021S0504011,Row house,4.4,290,610,2.1
2021,"Gander (CA), N.L.",2021S0504011,Apartment or flat in a duplex,4.5,475,995,2.1
2021,"Gander (CA), N.L.",2021S0504011,Apartment in a building that has fewer than five storeys,4.6,595,895,1.5
2021,"Gander (CA), N.L.",2021S0504011,Apartment in a building that has five or more storeys,4.7,15,15,1.1
2021,"Gander (CA), N.L.",2021S0504011,Other single-attached house,4.8,0,0,0.0
2021,"Gander (CA), N.L.",2021S0504011,Movable dwelling,4.9,55,115,2.2
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,Total - Structural type of dwelling,5.1,6120,13600,2.2
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,Single-detached house,5.2,3945,9420,2.4
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,Semi-detached house,5.3,370,805,2.2
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,Row house,5.4,535,1040,1.9
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,Apartment or flat in a duplex,5.5,750,1555,2.1
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,Apartment in a building that has fewer than five storeys,5.6,500,720,1.5
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,Apartment in a building that has five or more storeys,5.7,0,0,0.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,Other single-attached house,5.8,15,45,2.4
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,Movable dwelling,5.9,0,5,0.0
2021,"St. John's (CMA), N.L.",2021S0503001,Total - Structural type of dwelling,6.1,89995,208815,2.3
2021,"St. John's (CMA), N.L.",2021S0503001,Single-detached house,6.2,49215,127240,2.6
2021,"St. John's (CMA), N.L.",2021S0503001,Semi-detached house,6.3,4210,9145,2.2
2021,"St. John's (CMA), N.L.",2021S0503001,Row house,6.4,6285,13255,2.1
2021,"St. John's (CMA), N.L.",2021S0503001,Apartment or flat in a duplex,6.5,22205,47075,2.1
2021,"St. John's (CMA), N.L.",2021S0503001,Apartment in a building that has fewer than five storeys,6.6,7225,10755,1.5
2021,"St. John's (CMA), N.L.",2021S0503001,Apartment in a building that has five or more storeys,6.7,550,710,1.3
2021,"St. John's (CMA), N.L.",2021S0503001,Other single-attached house,6.8,160,325,2.1
2021,"St. John's (CMA), N.L.",2021S0503001,Movable dwelling,6.9,150,305,2.1
2021,Prince Edward Island,2021A000211,Total - Structural type of dwelling,7.1,64570,150480,2.3
2021,Prince Edward Island,2021A000211,Single-detached house,7.2,43855,111435,2.5
2021,Prince Edward Island,2021A000211,Semi-detached house,7.3,3645,8580,2.4
2021,Prince Edward Island,2021A000211,Row house,7.4,2680,5125,1.9
2021,Prince Edward Island,2021A000211,Apartment or flat in a duplex,7.5,1135,2465,2.2
2021,Prince Edward Island,2021A000211,Apartment in a building that has fewer than five storeys,7.6,10370,16985,1.6
2021,Prince Edward Island,2021A000211,Apartment in a building that has five or more storeys,7.7,130,210,1.6
2021,Prince Edward Island,2021A000211,Other single-attached house,7.8,85,195,2.2
2021,Prince Edward Island,2021A000211,Movable dwelling,7.9,2680,5490,2.1
2021,"Charlottetown (CA), P.E.I.",2021S0504105,Total - Structural type of dwelling,8.1,32945,77340,2.4
2021,"Charlottetown (CA), P.E.I.",2021S0504105,Single-detached house,8.2,19775,52355,2.7
2021,"Charlottetown (CA), P.E.I.",2021S0504105,Semi-detached house,8.3,2305,5460,2.4
2021,"Charlottetown (CA), P.E.I.",2021S0504105,Row house,8.4,1180,2730,2.3
2021,"Charlottetown (CA), P.E.I.",2021S0504105,Apartment or flat in a duplex,8.5,715,1530,2.2
2021,"Charlottetown (CA), P.E.I.",2021S0504105,Apartment in a building that has fewer than five storeys,8.6,7905,13130,1.7
2021,"Charlottetown (CA), P.E.I.",2021S0504105,Apartment in a building that has five or more storeys,8.7,85,145,1.6
2021,"Charlottetown (CA), P.E.I.",2021S0504105,Other single-attached house,8.8,35,90,2.4
2021,"Charlottetown (CA), P.E.I.",2021S0504105,Movable dwelling,8.9,945,1905,2.0
2021,"Summerside (CA), P.E.I.",2021S0504110,Total - Structural type of dwelling,9.1,7955,17670,2.2
2021,"Summerside (CA), P.E.I.",2021S0504110,Single-detached house,9.2,4210,10740,2.6
2021,"Summerside (CA), P.E.I.",2021S0504110,Semi-detached house,9.3,760,1790,2.4
2021,"Summerside (CA), P.E.I.",2021S0504110,Row house,9.4,790,1380,1.8
2021,"Summerside (CA), P.E.I.",2021S0504110,Apartment or flat in a duplex,9.5,260,595,2.3
2021,"Summerside (CA), P.E.I.",2021S0504110,Apartment in a building that has fewer than five storeys,9.6,1365,2135,1.6
2021,"Summerside (CA), P.E.I.",2021S0504110,Apartment in a building that has five or more storeys,9.7,40,60,1.6
2021,"Summerside (CA), P.E.I.",2021S0504110,Other single-attached house,9.8,15,20,1.8
2021,"Summerside (CA), P.E.I.",2021S0504110,Movable dwelling,9.9,520,960,1.8
2021,Nova Scotia,2021A000212,Total - Structural type of dwelling,10.1,428230,955855,2.2
2021,Nova Scotia,2021A000212,Single-detached house,10.2,272980,661450,2.4
2021,Nova Scotia,2021A000212,Semi-detached house,10.3,21605,52480,2.4
2021,Nova Scotia,2021A000212,Row house,10.4,11220,25255,2.3
2021,Nova Scotia,2021A000212,Apartment or flat in a duplex,10.5,13165,26690,2.0
2021,Nova Scotia,2021A000212,Apartment in a building that has fewer than five storeys,10.6,64575,107560,1.7
2021,Nova Scotia,2021A000212,Apartment in a building that has five or more storeys,10.7,28645,50610,1.8
2021,Nova Scotia,2021A000212,Other single-attached house,10.8,700,1400,2.0
2021,Nova Scotia,2021A000212,Movable dwelling,10.9,15345,30415,2.0
2021,"Cape Breton (CA), N.S.",2021S0504225,Total - Structural type of dwelling,11.1,43795,96640,2.2
2021,"Cape Breton (CA), N.S.",2021S0504225,Single-detached house,11.2,32275,75505,2.3
2021,"Cape Breton (CA), N.S.",2021S0504225,Semi-detached house,11.3,2865,6255,2.2
2021,"Cape Breton (CA), N.S.",2021S0504225,Row house,11.4,760,1475,2.0
2021,"Cape Breton (CA), N.S.",2021S0504225,Apartment or flat in a duplex,11.5,1905,3765,2.0
2021,"Cape Breton (CA), N.S.",2021S0504225,Apartment in a building that has fewer than five storeys,11.6,4545,6865,1.5
2021,"Cape Breton (CA), N.S.",2021S0504225,Apartment in a building that has five or more storeys,11.7,215,280,1.3
2021,"Cape Breton (CA), N.S.",2021S0504225,Other single-attached house,11.8,65,140,2.0
2021,"Cape Breton (CA), N.S.",2021S0504225,Movable dwelling,11.9,1170,2355,2.0
2021,"Halifax (CMA), N.S.",2021S0503205,Total - Structural type of dwelling,12.1,201140,461135,2.3
2021,"Halifax (CMA), N.S.",2021S0503205,Single-detached house,12.2,99445,262575,2.6
2021,"Halifax (CMA), N.S.",2021S0503205,Semi-detached house,12.3,12860,33200,2.6
2021,"Halifax (CMA), N.S.",2021S0503205,Row house,12.4,7550,19055,2.5
2021,"Halifax (CMA), N.S.",2021S0503205,Apartment or flat in a duplex,12.5,6720,13930,2.1
2021,"Halifax (CMA), N.S.",2021S0503205,Apartment in a building that has fewer than five storeys,12.6,41235,72165,1.8
2021,"Halifax (CMA), N.S.",2021S0503205,Apartment in a building that has five or more storeys,12.7,28320,50160,1.8
2021,"Halifax (CMA), N.S.",2021S0503205,Other single-attached house,12.8,215,435,2.1
2021,"Halifax (CMA), N.S.",2021S0503205,Movable dwelling,12.9,4805,9615,2.0
2021,"Kentville (CA), N.S.",2021S0504210,Total - Structural type of dwelling,13.1,11935,26600,2.2
2021,"Kentville (CA), N.S.",2021S0504210,Single-detached house,13.2,8160,19765,2.4
2021,"Kentville (CA), N.S.",2021S0504210,Semi-detached house,13.3,855,1890,2.2
2021,"Kentville (CA), N.S.",2021S0504210,Row house,13.4,100,160,1.6
2021,"Kentville (CA), N.S.",2021S0504210,Apartment or flat in a duplex,13.5,555,1125,2.0
2021,"Kentville (CA), N.S.",2021S0504210,Apartment in a building that has fewer than five storeys,13.6,1830,2880,1.6
2021,"Kentville (CA), N.S.",2021S0504210,Apartment in a building that has five or more storeys,13.7,10,20,1.7
2021,"Kentville (CA), N.S.",2021S0504210,Other single-attached house,13.8,30,60,2.3
2021,"Kentville (CA), N.S.",2021S0504210,Movable dwelling,13.9,395,700,1.8
2021,"New Glasgow (CA), N.S.",2021S0504220,Total - Structural type of dwelling,14.1,15485,33780,2.2
2021,"New Glasgow (CA), N.S.",2021S0504220,Single-detached house,14.2,11220,26450,2.4
2021,"New Glasgow (CA), N.S.",2021S0504220,Semi-detached house,14.3,690,1535,2.2
2021,"New Glasgow (CA), N.S.",2021S0504220,Row house,14.4,435,695,1.6
2021,"New Glasgow (CA), N.S.",2021S0504220,Apartment or flat in a duplex,14.5,355,680,1.9
2021,"New Glasgow (CA), N.S.",2021S0504220,Apartment in a building that has fewer than five storeys,14.6,1940,2775,1.4
2021,"New Glasgow (CA), N.S.",2021S0504220,Apartment in a building that has five or more storeys,14.7,5,10,1.6
2021,"New Glasgow (CA), N.S.",2021S0504220,Other single-attached house,14.8,20,35,1.8
2021,"New Glasgow (CA), N.S.",2021S0504220,Movable dwelling,14.9,815,1600,2.0
2021,"Truro (CA), N.S.",2021S0504215,Total - Structural type of dwelling,15.1,20700,45330,2.2
2021,"Truro (CA), N.S.",2021S0504215,Single-detached house,15.2,13720,32870,2.4
2021,"Truro (CA), N.S.",2021S0504215,Semi-detached house,15.3,655,1465,2.2
2021,"Truro (CA), N.S.",2021S0504215,Row house,15.4,230,420,1.8
2021,"Truro (CA), N.S.",2021S0504215,Apartment or flat in a duplex,15.5,1050,2155,2.0
2021,"Truro (CA), N.S.",2021S0504215,Apartment in a building that has fewer than five storeys,15.6,3720,5825,1.6
2021,"Truro (CA), N.S.",2021S0504215,Apartment in a building that has five or more storeys,15.7,5,10,2.0
